Name,Meta Critic,Cost,Class,Country,Whiskey Type
Macallan Cask Strength,8.93,$$$$$+,SingleMalt-like,Scotland,Malt
Balvenie TUN 1509 (all 3 batches),8.92,$$$$$+,SingleMalt-like,Scotland,Malt
BenRiach 35yo,8.92,$$$$$+,SingleMalt-like,Scotland,Malt
Kavalan Solist Port Cask,8.92,$$$$$,SingleMalt-like,Scotland,Malt
Aberlour A'Bunadh (Batch 46),8.91,$$$$,SingleMalt-like,Scotland,Malt
BenRiach 17yo Solstice 1st Peated Port Finish,8.91,$$$$,SingleMalt-like,Scotland,Malt
Bowmore 15yo Laimrig,8.91,$$$$,SingleMalt-like,Scotland,Malt
GlenDronach Cask Strength (batch 4),8.91,$$$$,SingleMalt-like,Scotland,Malt
Glengoyne 40yo,8.91,$$$$$+,SingleMalt-like,Scotland,Malt
Aberlour A'Bunadh (Batch 42),8.9,$$$$,SingleMalt-like,Scotland,Malt
GlenDronach Cask Strength (all batches),8.9,$$$$,SingleMalt-like,Scotland,Malt
Glenlivet XXV 25yo,8.9,$$$$$+,SingleMalt-like,Scotland,Malt
Highland Park 21yo,8.9,$$$$$+,SingleMalt-like,Scotland,Malt
Laphroaig Cairdeas 2013 Port Wood,8.89,$$$$,SingleMalt-like,Scotland,Malt
Macallan 18yo Sherry Oak,8.89,$$$$$+,SingleMalt-like,Scotland,Malt
Amrut PX Sherry Single Cask 3516 (SAQ),8.88,$$$$,SingleMalt-like,India,Malt
Glengoyne 21yo,8.88,$$$$$,SingleMalt-like,Scotland,Malt
Highland Park 16yo Thor,8.88,$$$$$+,SingleMalt-like,Scotland,Malt
Kilchoman PX Sherry Finish,8.88,$$$$$,SingleMalt-like,Scotland,Malt
White Oak Akashi 14yo,8.88,$$$$$+,SingleMalt-like,Japan,Malt
Amrut Intermediate Sherry,8.87,$$$$,SingleMalt-like,India,Malt
Bunnahabhain 25yo,8.87,$$$$$+,SingleMalt-like,Scotland,Malt
GlenDronach 15yo Revival,8.87,$$$$,SingleMalt-like,Scotland,Malt
GlenDronach Cask Strength (batch 7),8.87,$$$$,SingleMalt-like,Scotland,Malt
Kilchoman Loch Gorm,8.87,$$$$,SingleMalt-like,Scotland,Malt
Macallan 10yo Sherry Oak Cask Strength,8.87,$$$$$+,SingleMalt-like,Scotland,Malt
Springbank 12yo Cask Strength,8.87,$$$$,SingleMalt-like,Scotland,Malt
Aberlour A'Bunadh (Batch 34),8.86,$$$$,SingleMalt-like,Scotland,Malt
